MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
8.3252,41.0,6.984127,1.023810,322.0,2.555556,37.88,-122.23
3.8462,52.0,6.281853,1.081081,565.0,2.181467,37.85,-122.25
5.6431,52.0,5.817352,1.073059,558.0,2.547945,37.85,-122.25
1.8080,52.0,4.780857,1.060222,1095.0,1.735341,37.85,-122.27
3.1200,52.0,4.781250,1.125000,345.0,2.156250,37.85,-122.27
4.0368,52.0,4.761658,1.036269,413.0,2.139896,37.85,-122.27
3.6591,52.0,4.931034,1.079310,633.0,2.182759,37.85,-122.28
2.1771,52.0,4.707237,1.016447,758.0,2.493421,37.85,-122.28
1.9167,52.0,4.781609,1.149425,745.0,2.140805,37.85,-122.29
2.6736,52.0,5.177778,1.076389,827.0,2.871528,37.85,-122.29
